go,黄立行,,,,,,,,,,,,,,,
ICU,张根硕,,,,,,,,,,,,,,,
uuu,潘玮柏,,,,,,,,,,,,,,,
乱,香香,,,,,,,,,,,,,,,
伤,张玮,,,,,,,,,,,,,,,
伤,"项亚蕻,羽泉",,,,,,,,,,,,,,,
听,张杰,,,,,,,,,,,,,,,
她,"马上又,杨坤",,,,,,,,,,,,,,,
她,"王思远,周华健",,,,,,,,,,,,,,,
暖,"伦永亮,林忆莲",,,,,,,,,,,,,,,
梦,任家萱,,,,,,,,,,,,,,,
烧,吉杰,,,,,,,,,,,,,,,
爱,"胡海泉,陈羽凡,苏有朋",,,,,,,,,,,,,,,
狼,"侯磊,齐秦",,,,,,,,,,,,,,,
狼,"齐秦,韩红",,,,,,,,,,,,,,,
狼,"胡海泉,徐林",,,,,,,,,,,,,,,
红,周华健,,,,,,,,,,,,,,,
罪,佛跳墙,,,,,,,,,,,,,,,
茧,赵浴辰,,,,,,,,,,,,,,,
藏,陈翔,,,,,,,,,,,,,,,
衬,张敬轩,,,,,,,,,,,,,,,
诺,"李炜,杨洋",,,,,,,,,,,,,,,
谜,陈坤,,,,,,,,,,,,,,,
歌曲名,表演者,,,,,,,,,,,,,,,
辞,范冰冰,,,,,,,,,,,,,,,
野,江映蓉,,,,,,,,,,,,,,,
门,曹方,,,,,,,,,,,,,,,
Baby,丁丁/黄一,,,,,,,,,,,,,,,
Bond,"HA:TFELT,Beenzino",,,,,,,,,,,,,,,
I DO,彭坦,,,,,,,,,,,,,,,
John,梁心颐,,,,,,,,,,,,,,,
Love,Hebe,,,,,,,,,,,,,,,
Mako,Priscilla Ahn,,,,,,,,,,,,,,,
Mine,2PM,,,,,,,,,,,,,,,
Star,15＆,,,,,,,,,,,,,,,
Stay,James,,,,,,,,,,,,,,,
Stay,少女时代-太蒂徐,,,,,,,,,,,,,,,
Taxi,"李珉宇,Eric",,,,,,,,,,,,,,,
Trap,"Henry,KyuHyun,TAEMIN",,,,,,,,,,,,,,,
easy,彭坦,,,,,,,,,,,,,,,
i am,林俊杰,,,,,,,,,,,,,,,
love,徐佳莹,,,,,,,,,,,,,,,
11:11,Illionaire Records,,,,,,,,,,,,,,,
Do It,"Pitbull,Mayer Hawthorne",,,,,,,,,,,,,,,
Hello,GOT7,,,,,,,,,,,,,,,
Intro,Toheart(WooHyun&Key),,,,,,,,,,,,,,,
OCEAN,"彭坦,春晓",,,,,,,,,,,,,,,
Sugar,15＆,,,,,,,,,,,,,,,
Truth,HA:TFELT,,,,,,,,,,,,,,,
Uh-ee,Crayon Pop,,,,,,,,,,,,,,,
do it,吴建豪,,,,,,,,,,,,,,,
