想你的夜(2012新版),关喆,,,,,,,,,,,,,,,
去大理(电影《心花路放》插曲),郝云,,,,,,,,,,,,,,,
平凡之路(电影《后会无期》主题曲),朴树,,,,,,,,,,,,,,,
因为爱情(live版),李佳薇,,,,,,,,,,,,,,,
我最亲爱的(live版),苏打绿,,,,,,,,,,,,,,,
离人(live版),蔡淳佳,,,,,,,,,,,,,,,
他不爱我,张杰,,,,,,,,,,,,,,,
惊鸿一面,许嵩,,,,,,,,,,,,,,,
爱这种离谱的感觉,SpeXial,,,,,,,,,,,,,,,
点头,李韦,,,,,,,,,,,,,,,
酒干倘卖无(电影《我是孝子》插曲),陈迪雅,,,,,,,,,,,,,,,
山水之间,许嵩,,,,,,,,,,,,,,,
G大调的悲伤(live版),张靓颖,,,,,,,,,,,,,,,
不懂自己(电视剧《如果我爱你》插曲),karey天天,,,,,,,,,,,,,,,
陈淑芬与林志豪,王心凌,,,,,,,,,,,,,,,
李白,李荣浩,,,,,,,,,,,,,,,
玛卡瑞纳,海龟先生,,,,,,,,,,,,,,,
金玉良缘(电视剧《金玉良缘》插曲),贾青,,,,,,,,,,,,,,,
Baby Boy,王心凌,,,,,,,,,,,,,,,
爱的季节(电影《回到爱开始的地方》片尾曲),魏如萱,,,,,,,,,,,,,,,
Baby别放手,黑龙,,,,,,,,,,,,,,,
上瘾,EXO-M,,,,,,,,,,,,,,,
奔跑,羽泉,,,,,,,,,,,,,,,
爱的幸运曲奇,SNH48,,,,,,,,,,,,,,,
After Leaving,舒涵,,,,,,,,,,,,,,,
金玉良缘(电视剧《金玉良缘》片尾曲),李琦,,,,,,,,,,,,,,,
熟悉的陌生人,洪卓立,,,,,,,,,,,,,,,
炸鸡和啤酒,韩信,,,,,,,,,,,,,,,
Beautiful Light,姚贝娜,,,,,,,,,,,,,,,
你给我听好,陈奕迅,,,,,,,,,,,,,,,
热情的沙漠(live版),莫旭秋,,,,,,,,,,,,,,,
相思泪,杨姣,,,,,,,,,,,,,,,
爱你一万倍(live版),区霭玲,,,,,,,,,,,,,,,
神秘女郎(live版),莫旭秋,,,,,,,,,,,,,,,
爱为她,王欢,,,,,,,,,,,,,,,
秋水伊人(live版),莫旭秋,,,,,,,,,,,,,,,
Black Magic,刘景庄,,,,,,,,,,,,,,,
何日君再来(live版),莫旭秋,,,,,,,,,,,,,,,
葬花(live版),区霭玲,,,,,,,,,,,,,,,
假如我是真的(live版),莫旭秋,,,,,,,,,,,,,,,
第二春(live版),莫旭秋,,,,,,,,,,,,,,,
瑶妹传情,三多 ,,,,,,,,,,,,,,,
用什么方法可以忘记你,何宗龙,,,,,,,,,,,,,,,
Beautiful Light,毕夏,,,,,,,,,,,,,,,
好不容易(live版),张靓颖,,,,,,,,,,,,,,,
女人花 (feat. 齐豫)(live版),齐秦,,,,,,,,,,,,,,,
外面的世界 (feat. 齐豫)(live版),齐秦,,,,,,,,,,,,,,,
最炫民族风(live版),凤凰传奇,,,,,,,,,,,,,,,
爱上一个不回家的人 (feat. 常石磊)(live版),萨顶顶,,,,,,,,,,,,,,,
热情的沙漠 (feat. 李泉)(live版),古巨基,,,,,,,,,,,,,,,
鸿雁 (feat. 常石磊)(live版),萨顶顶,,,,,,,,,,,,,,,
我是不是你最疼爱的人 (feat. 潘越云)(live版),郁可唯,,,,,,,,,,,,,,,
王妃 (feat. 杨培安)(live版),萧煌奇,,,,,,,,,,,,,,,
泡沫(live版),G.E.M. 邓紫棋,,,,,,,,,,,,,,,
A.I.N.Y.(live版),G.E.M. 邓紫棋,,,,,,,,,,,,,,,
我的秘密 (Live Piano Session),G.E.M. 邓紫棋,,,,,,,,,,,,,,,
我要我们在一起(live版),G.E.M. 邓紫棋,,,,,,,,,,,,,,,
酒干倘卖无 (feat. 程琳)(live版),阿鲁阿卓,,,,,,,,,,,,,,,
至少还有你 (feat. 阿兰)(live版),蔡妍,,,,,,,,,,,,,,,
精忠报国,春天,,,,,,,,,,,,,,,
桃花源,腾格尔,,,,,,,,,,,,,,,
特别的爱给特别的你,麦子杰,,,,,,,,,,,,,,,
疼爱(电视剧《隋唐英雄》第三部主题曲),张卫健,,,,,,,,,,,,,,,
痣,蔡孟臻,,,,,,,,,,,,,,,
沧海一声笑,黄沾,,,,,,,,,,,,,,,
牵手,苏芮,,,,,,,,,,,,,,,
点亮智慧人生,杨坤,,,,,,,,,,,,,,,
爱的承诺,孙江枫,,,,,,,,,,,,,,,
