爱我别走(live版),李琪,,,,,,,,,,,,,,,
爱疯了(live版),梁栋江,,,,,,,,,,,,,,,
落叶归根(live版),胡慧仪,,,,,,,,,,,,,,,
我从来没去过纽约(电影《老男孩之猛龙过江》片尾曲&amp;#124;OT: Ich War Noch,筷子兄弟,,,,,,,,,,,,,,,
火(live版),秦晓林,,,,,,,,,,,,,,,
青蛙也会变王子,王俊凯,,,,,,,,,,,,,,,
一江水(live版),李维,,,,,,,,,,,,,,,
燃烧(live版),李光,,,,,,,,,,,,,,,
彩虹天堂(live版),魏然,,,,,,,,,,,,,,,
思念是一种病(live版),Robynn &amp; Kendy,,,,,,,,,,,,,,,
盛夏光年(live版),陈冰,,,,,,,,,,,,,,,
遇上你是我的缘(live版),阿鲁阿卓,,,,,,,,,,,,,,,
爱我别走,岳定辉,,,,,,,,,,,,,,,
无地自容(live版),黑豹乐队,,,,,,,,,,,,,,,
美丽世界的孤儿(live版),耿斯汉,,,,,,,,,,,,,,,
因为爱情(live版),李佳薇,,,,,,,,,,,,,,,
天路,天亮,,,,,,,,,,,,,,,
爱的箴言(live版),凌菱,,,,,,,,,,,,,,,
春天里(TVBS《A咖的路》插曲),丁当,,,,,,,,,,,,,,,
万花瞳(电影《小时代3：刺金时代》主题曲),蔡依林,,,,,,,,,,,,,,,
他不爱我(live版),包函朵,,,,,,,,,,,,,,,
记得,李怡辉,,,,,,,,,,,,,,,
爱情回来了(电视剧《爱情回来了》片头曲),曹轩宾,,,,,,,,,,,,,,,
我最亲爱的(live版),苏打绿,,,,,,,,,,,,,,,
爱我就跟我走,姚天成,,,,,,,,,,,,,,,
离人(live版),蔡淳佳,,,,,,,,,,,,,,,
Autumn Leaves + 你怎么舍得我难过(live版),包函朵,,,,,,,,,,,,,,,
Beats Myself And I(remix版),顽童MJ116,,,,,,,,,,,,,,,
漂洋过海来看你(live版),李美熹,,,,,,,,,,,,,,,
美丽的神话(live版),王逸洁,,,,,,,,,,,,,,,
拥抱 (2013新录制作品),五月天,,,,,,,,,,,,,,,
枉凝眉(20140228天天把歌唱live版),康慷,,,,,,,,,,,,,,,
味道(live版),李光,,,,,,,,,,,,,,,
偏执面,张惠妹,,,,,,,,,,,,,,,
离骚(live版),于文华,,,,,,,,,,,,,,,
终身大事,田馥甄,,,,,,,,,,,,,,,
目送,林凡,,,,,,,,,,,,,,,
酒干倘卖无(电影《我是孝子》插曲),陈迪雅,,,,,,,,,,,,,,,
海阔天空(live版),谷微,,,,,,,,,,,,,,,
回到拉萨(live版),杨创,,,,,,,,,,,,,,,
G大调的悲伤(live版),张靓颖,,,,,,,,,,,,,,,
不懂自己(电视剧《如果我爱你》插曲),karey天天,,,,,,,,,,,,,,,
缺口(电影《等一个人咖啡》主题曲),庾澄庆,,,,,,,,,,,,,,,
爱情客栈,张津涤,,,,,,,,,,,,,,,
鹿港小镇(live版),彭佳慧,,,,,,,,,,,,,,,
明天过后,张杰,,,,,,,,,,,,,,,
那一天(民歌中国2013live版),降央卓玛,,,,,,,,,,,,,,,
爱你的我今天长这样(电视剧《犀利仁师》主题曲),吴奇隆,,,,,,,,,,,,,,,
金玉良缘(电视剧《金玉良缘》插曲),贾青,,,,,,,,,,,,,,,
味道(live版),韩磊,,,,,,,,,,,,,,,
随它吧,胡维纳,,,,,,,,,,,,,,,
你不知道的事(live版),张馨月,,,,,,,,,,,,,,,
爱的季节(电影《回到爱开始的地方》片尾曲),魏如萱,,,,,,,,,,,,,,,
唯一(live版),茜拉,,,,,,,,,,,,,,,
空白格(live版),许一鸣,,,,,,,,,,,,,,,
最炫民族风(TV Verison),A-Prince,,,,,,,,,,,,,,,
爱得伤痕累累,林雨,,,,,,,,,,,,,,,
由我们主宰(2014巴西世界杯歌曲),五月天,,,,,,,,,,,,,,,
爱的主打歌(live版),路默依,,,,,,,,,,,,,,,
独上西楼 + I&#39;m With You(live版),杨腾飞,,,,,,,,,,,,,,,
80后,车静子,,,,,,,,,,,,,,,
虫儿飞,李烁,,,,,,,,,,,,,,,
记得(贵州卫视live版),茜拉,,,,,,,,,,,,,,,
最美的太阳 + 翅膀 (feat. 林俊杰)(live版),张杰,,,,,,,,,,,,,,,
茉莉花(live版),常石磊,,,,,,,,,,,,,,,
走四方(live版),羽泉,,,,,,,,,,,,,,,
爱的幸运曲奇,SNH48,,,,,,,,,,,,,,,
爱的音符,祁隆,,,,,,,,,,,,,,,
After Leaving,舒涵,,,,,,,,,,,,,,,
同桌的你(电影《同桌的妳》片尾主题曲),胡夏,,,,,,,,,,,,,,,
囚鸟,G.E.M. 邓紫棋,,,,,,,,,,,,,,,
春天里 (feat. 方大同)(live版),G.E.M. 邓紫棋,,,,,,,,,,,,,,,
爱的供养(电视剧《宫锁连城》插曲),陆毅,,,,,,,,,,,,,,,
金玉良缘(电视剧《金玉良缘》片尾曲),李琦,,,,,,,,,,,,,,,
热情的沙漠(live版),梦然,,,,,,,,,,,,,,,
熟悉的陌生人,洪卓立,,,,,,,,,,,,,,,
外婆的澎湖湾(live版),麒麟Baby,,,,,,,,,,,,,,,
你是我的眼(live版),李琦,,,,,,,,,,,,,,,
掀起你的盖头来 (feat. 胡彦斌 &amp; 张嘉译)(live版),韩磊,,,,,,,,,,,,,,,
回到拉萨(live版),张杰,,,,,,,,,,,,,,,
We Will Rock You + 一无所有 + We Are The Champions(liv,G.E.M. 邓紫棋,,,,,,,,,,,,,,,
爱我请留言(电视剧《爱我请留言》主题曲),吴若希,,,,,,,,,,,,,,,
Susan说(live版),王奕丁,,,,,,,,,,,,,,,
Apple,玛啡因,,,,,,,,,,,,,,,
呼吸(Breath [Chinese Ver.]&amp;#124;??? [中文版]&amp;#1,金钟大,,,,,,,,,,,,,,,
走四方 + 向天再借五百年(live版),韩磊,,,,,,,,,,,,,,,
你不是真正的快乐(live版),G.E.M. 邓紫棋,,,,,,,,,,,,,,,
卷珠帘 (feat. 费玉清)(live版),霍尊,,,,,,,,,,,,,,,
最长的电影(live版),茜拉,,,,,,,,,,,,,,,
花房姑娘(live版),韩磊,,,,,,,,,,,,,,,
时间都去哪儿了(live版),周笔畅,,,,,,,,,,,,,,,
洋葱(live版),茜拉,,,,,,,,,,,,,,,
身不由己(电视剧《步步惊情》约定版主题曲&amp;#124;Lose Myself),丁当,,,,,,,,,,,,,,,
酒干倘卖无(live版),迪克牛仔,,,,,,,,,,,,,,,
爱的箴言(live版),黄绮珊,,,,,,,,,,,,,,,
灯火 [新编版](live版),蔡健雅,,,,,,,,,,,,,,,
野百合也有春天(live版),周觅,,,,,,,,,,,,,,,
20岁的眼泪(live版),张宇,,,,,,,,,,,,,,,
难忘今宵(live版),华语群星,,,,,,,,,,,,,,,
套马杆(live版),蒋大为,,,,,,,,,,,,,,,
热情的沙漠(live版),莫旭秋,,,,,,,,,,,,,,,
求佛,誓言,,,,,,,,,,,,,,,
牵着手一起走,小臭臭,,,,,,,,,,,,,,,
相思泪,杨姣,,,,,,,,,,,,,,,
爱你一万倍(live版),区霭玲,,,,,,,,,,,,,,,
神秘女郎(live版),莫旭秋,,,,,,,,,,,,,,,
这个人已经与我无关,田馥甄,,,,,,,,,,,,,,,
爱为她,王欢,,,,,,,,,,,,,,,
秋水伊人(live版),莫旭秋,,,,,,,,,,,,,,,
何日君再来(live版),莫旭秋,,,,,,,,,,,,,,,
借一双天使的翅膀,尚芸菲,,,,,,,,,,,,,,,
葬花(live版),区霭玲,,,,,,,,,,,,,,,
假如我是真的(live版),莫旭秋,,,,,,,,,,,,,,,
让青春激扬,郑璐,,,,,,,,,,,,,,,
第二春(live版),莫旭秋,,,,,,,,,,,,,,,
龙卷风(live版),G.E.M. 邓紫棋,,,,,,,,,,,,,,,
爱什么稀罕(live版),张杰,,,,,,,,,,,,,,,
北京北京(live版),韩磊,,,,,,,,,,,,,,,
酒干倘卖无(live版),动力火车,,,,,,,,,,,,,,,
明天我要嫁给你(live版),黑豹乐队,,,,,,,,,,,,,,,
天空(live版),动力火车,,,,,,,,,,,,,,,
明明爱你(电视剧《我的自由年代》片尾曲),林凡,,,,,,,,,,,,,,,
瑶妹传情,三多 ,,,,,,,,,,,,,,,
爱的初体验 (feat. Free 9)(live版),张震岳,,,,,,,,,,,,,,,
挪威的森林(live版),伍佰 &amp; China Blue,,,,,,,,,,,,,,,
温柔(live版),五月天,,,,,,,,,,,,,,,
梦醒时分(live版),伍佰 &amp; China Blue,,,,,,,,,,,,,,,
浪人情歌 (feat. 刘若英)(live版),伍佰 &amp; China Blue,,,,,,,,,,,,,,,
当爱已成往事 (feat. 辛晓琪 &amp; 许景淳 &amp; 赵咏华 &amp; 李度 &am,周华健,,,,,,,,,,,,,,,
爱你一万年 (feat. 陈升)(live版),伍佰 &amp; China Blue,,,,,,,,,,,,,,,
"鹿港小镇 (feat. 张震岳 , 伍佰 &amp; Free 9)(live版)",伍佰 &amp; China Blue,,,,,,,,,,,,,,,
亲密爱人(live版),小虫,,,,,,,,,,,,,,,
爱的箴言(live版),周子琰,,,,,,,,,,,,,,,
哭了(live版),周笔畅,,,,,,,,,,,,,,,
